"","uniqueID1","uniqueID2","uniqueID3","uniqueID4","date","year","season","fishing_season","latitude","longitude","location","total_salmon_per_site","day_scaled_linearised","month_linearised","netting_record","sea_age","sex","fork_length","gut_weight","condition","vgll3","six6","best_estimate","be_probability","prey_group","num_prey","num_fish","num_crus","w_fish","w_crus","w_prey","empty_notEmpty","fish_prop","fish_noFish","crust_prop","crust_noCrust"
"1","3_W_90","0003_W_90","0003_W_90_1992","4_17111992","17/11/1992",1992,"92/93","autumn",62.93,-9.88,"location16",294,-2.07280687460723,11,4,"3","male",90,7.56,1.03703703703704,2,3,"Southern_Norway",1,"Crustaceans",2,0,2,0,0.05,0.05,1,0,0,1,1
"2","5_W_67","0005_W_67","0005_W_67_1992","1_17111992","17/11/1992",1992,"92/93","autumn",62.93,-9.88,"location16",294,-2.07280687460723,11,1,"2","female",67,2.91,0.967539225237147,2,3,"Southern_Norway",0.8243,NA,0,0,0,0,0,0,0,NA,0,NA,0
"3","6_W_70","0006_W_70","0006_W_70_1992","1_18111992","18/11/1992",1992,"92/93","autumn",63.08,-9.68,"location20",175,-2.04205056894301,11,1,"2","female",70,3.64,1.06122448979592,3,3,"England_Ireland",1,"Crustaceans",20,0,20,0,0.2,0.2,1,0,0,1,1
"4","7_W_68","0007_W_68","0007_W_68_1992","33_18111992","18/11/1992",1992,"92/93","autumn",63.08,-9.68,"location20",175,-2.04205056894301,11,33,"2","male",68,2.73,0.868232240993283,2,2,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"5","8_W_66","0008_W_66","0008_W_66_1992","89_18111992","18/11/1992",1992,"92/93","autumn",63.08,-9.68,"location20",175,-2.04205056894301,11,89,"2","female",66,3.18,1.10610234577177,3,3,"England_Ireland",0.9992,NA,0,0,0,0,0,0,0,NA,0,NA,0
"6","9_W_90","0009_W_90","0009_W_90_1992","71_19111992","19/11/1992",1992,"92/93","autumn",62.92,-9.97,"location15",179,-2.0112942632788,11,71,"3","female",90,6.83,0.936899862825789,2,3,"Southern_Norway",0.995,"Crustaceans",2,0,2,0,0.16,0.16,1,0,0,1,1
"7","10_W_71","0010_W_71","0010_W_71_1992","91_19111992","19/11/1992",1992,"92/93","autumn",62.92,-9.97,"location15",179,-2.0112942632788,11,91,"2","female",71,3.64,1.01701260927996,2,3,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"8","11_W_64","0011_W_64","0011_W_64_1992","34_19111992","19/11/1992",1992,"92/93","autumn",62.92,-9.97,"location15",179,-2.0112942632788,11,34,"2","female",64,2.55,0.972747802734375,2,2,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"9","12_W_86","0012_W_86","0012_W_86_1992","24_19111992","19/11/1992",1992,"92/93","autumn",62.92,-9.97,"location15",179,-2.0112942632788,11,24,"3","female",86,6.37,1.00148414605003,2,3,"Southern_Norway",1,"Crustaceans",8,0,8,0,0.19,0.19,1,0,0,1,1
"10","17_W_72","0017_W_72","0017_W_72_1992","65_27111992","27/11/1992",1992,"92/93","autumn",63,-6.92,"location18",171,-1.76524381796505,11,65,"2","female",72,4.19,1.12257801783265,2,1,"England_Ireland",1,"Crustaceans",112,0,112,0,1.51,1.51,1,0,0,1,1
