IND;Best Estimate;Probability;2nd Best Estimate;Probability;3rd Best Estimate, etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003_W_90_1992 ;Lardaiselva;0.9903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0005_W_67_1992 ;Lardaiselva;0.8071;Dart;0.1685;Gaula;0.0171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0006_W_70_1992 ;Moy;0.9856;NorthEsk;0.0118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0007_W_68_1992 ;Lardaiselva;0.5993;Gaula;0.3993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0008_W_66_1992 ;Dionard;0.7499;Dart;0.0862;Tweed;0.0789;NorthEsk;0.0773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009_W_90_1992 ;Gaula;0.9494;Numedalsiagen;0.0421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0010_W_71_1992 ;Numedalsiagen;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011_W_64_1992 ;Blackwater;0.7385;Dart;0.2038;Moy;0.0490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0012_W_86_1992 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0017_W_72_1992 ;NorthEsk;0.9961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0018_W_68_1992 ;Dionard;0.8254;Dart;0.1671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0019_W_45_1992 ;Tweed;0.6369;Dionard;0.3506;NorthEsk;0.0103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0020_W_43_1992 ;Dionard;0.5442;Blackwater;0.3388;Dart;0.0944;NorthEsk;0.0149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0021_W_65_1992 ;Gaula;0.9833;Lardaiselva;0.0156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0022_W_66_1992 ;Gaula;0.4709;Lardaiselva;0.4507;Numedalsiagen;0.0774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0023_W_69_1992 ;Matapedia;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0025_W_64_1992 ;Dionard;0.4409;Numedalsiagen;0.3797;Gaula;0.0922;Lardaiselva;0.0583;NorthEsk;0.0289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0098_W_70_1992 ;Gaula;0.4099;Numedalsiagen;0.1878;Tweed;0.1180;Blackwater;0.0992;Dionard;0.0670;Reisa_aver;0.0300;Lardaiselva;0.0299;Moy;0.0298;NorthEsk;0.0184;;;;;;;;;;;;;;;;;;;;;;;;;;
0096_W_72_1992 ;Gaula;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0095_W_91_1992 ;Lardaiselva;0.6640;Gaula;0.3300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0094_W_73_1992 ;Lardaiselva;0.9727;Dionard;0.0166;Numedalsiagen;0.0098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0093_W_70_1992 ;Dionard;0.6372;Blackwater;0.1880;Dart;0.1365;Tweed;0.0300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0092_W_73_1992 ;Moy;0.9234;Tweed;0.0629;Dionard;0.0133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0091_W_69_1992 ;Dionard;0.6209;Blackwater;0.3637;Tweed;0.0069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0090_W_101_1992 ;Dionard;0.4552;NorthEsk;0.3008;Blackwater;0.1602;Gaula;0.0822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0089_W_70_1992 ;Dionard;0.3956;NorthEsk;0.3684;Dart;0.2014;Blackwater;0.0271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0075_W_67_1992 ;Lardaiselva;0.9938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0087_W_64_1992 ;Gaula;0.9993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0099_W_61_1992 ;Emtsa;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
